Custid,Year_Birth,Dependents,Income,Rcn,Frq,Mnt,Clothes,Kitchen,SmallAppliances,HouseKeeping,Toys,NetPurchase,CatPurchase,Recomendation,DepVar,Gender_M,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Together,Marital_Status_Widow
1003,1991,1,29761.2,69,11,45.76,32,19,24,1,24,59,41,3,0,1,0,1,0,0,0,1,0,0
1004,1956,1,98249.55,10,26,923.52,60,10,19,6,5,35,65,5,0,1,0,0,1,0,0,1,0,0
1006,1983,1,23505.3,65,14,58.24,47,2,48,2,1,67,33,4,0,0,0,0,0,1,0,0,1,0
1007,1970,1,72959.25,73,18,358.8,71,7,13,1,8,46,54,4,0,0,0,1,0,0,0,0,0,0
1009,1941,0,114973.95,75,30,1457.04,38,9,35,9,9,17,83,5,0,0,0,1,0,0,0,1,0,0
1010,1995,1,25038.3,153,8,19.76,18,55,17,10,1,39,61,4,0,1,1,0,0,0,0,0,0,0
1017,1993,0,21045.15,37,5,16.64,6,28,35,28,3,51,49,1,0,0,0,1,0,0,0,0,1,0
1019,1991,0,27448.05,52,8,37.44,19,17,28,23,12,50,50,3,0,1,0,1,0,0,0,0,0,0
1022,1996,0,45561.6,4,12,122.72,5,29,16,12,38,57,43,3,0,0,1,0,0,0,0,0,0,0
1024,1982,1,43299.9,59,18,316.16,67,4,23,3,4,60,40,2,0,0,0,0,1,0,0,1,0,0
1025,1947,0,109995.9,14,33,1658.8,35,5,39,10,11,12,88,4,0,0,0,0,0,0,0,0,0,1
1034,1983,1,57043.35,21,8,48.88,20,14,39,16,11,62,38,3,0,0,0,0,0,0,0,1,0,0
1036,1974,1,69144.6,55,10,65.52,64,1,31,2,2,57,43,3,0,0,0,1,0,0,0,1,0,0
1038,1956,1,91821.45,87,16,462.8,53,2,37,4,3,38,62,4,0,0,0,0,0,1,0,1,0,0
1041,1997,1,37950.15,65,14,156.0,6,28,27,17,22,60,40,4,0,0,1,0,0,0,0,0,0,0
1051,1980,1,38753.4,47,6,26.0,84,1,13,1,1,41,59,4,0,0,0,1,0,0,0,0,1,0
1054,1965,1,84582.75,41,15,309.92,75,2,17,2,3,54,46,4,0,0,0,1,0,0,0,0,1,0
1058,1987,1,61588.8,99,11,126.88,12,7,50,19,12,55,45,5,0,0,0,0,0,0,0,1,0,0
1061,1947,0,100873.5,6,29,1331.2,41,2,49,4,4,17,83,4,1,0,0,0,0,1,0,0,0,1
1067,1979,1,55069.35,83,15,194.48,74,3,17,2,5,64,36,2,0,1,0,1,0,0,0,1,0,0
1070,1955,0,96502.35,45,33,1598.48,57,7,18,7,11,14,86,5,0,1,0,1,0,0,0,0,0,0
1074,1982,1,63479.85,73,9,65.52,37,2,51,6,3,57,43,4,0,0,0,0,0,1,0,1,0,0
1075,1954,1,88034.1,26,30,1261.52,42,11,41,5,2,25,75,5,0,0,0,1,0,0,1,0,0,0
1076,1986,1,65426.55,86,12,153.92,68,1,27,3,1,54,46,3,0,0,0,0,0,1,0,1,0,0
1089,1974,1,60780.3,59,13,122.72,81,2,15,1,1,60,40,2,0,0,0,1,0,0,0,1,0,0
1091,1969,1,76444.2,85,15,229.84,66,6,21,6,1,54,46,3,0,0,0,1,0,0,0,0,0,0
1094,1964,1,94752.0,8,21,624.0,91,0,8,0,1,44,56,5,0,1,0,0,0,1,0,0,0,1
1095,1987,1,37636.2,12,10,41.6,61,2,34,1,2,65,35,3,0,1,0,1,0,0,0,0,0,0
1097,1986,1,57893.85,75,8,58.24,71,3,21,1,4,44,56,2,0,0,0,0,0,1,0,1,0,0
1098,1975,1,60992.4,70,9,43.68,59,5,26,9,1,67,33,4,0,1,0,1,0,0,0,0,1,0
1099,1987,1,42677.25,1,10,49.92,66,1,26,1,6,64,36,3,0,0,0,0,1,0,0,1,0,0
1102,1937,0,103050.15,29,21,811.2,24,12,42,18,4,23,77,2,0,1,0,0,0,0,1,0,0,0
1104,1955,1,99220.8,71,25,988.0,39,1,35,13,12,28,72,2,0,0,0,0,0,0,0,0,1,0
1108,1992,0,10500.0,12,10,35.36,10,32,37,2,20,64,36,2,0,1,0,1,0,0,0,0,0,0
1109,1995,1,34766.55,19,14,188.24,62,8,17,7,7,37,63,4,0,0,1,0,0,0,0,0,1,0
1112,1961,1,72902.55,77,8,76.96,81,1,17,0,1,54,46,5,0,0,0,1,0,0,0,1,0,0
1114,1984,1,59478.3,373,7,20.8,19,16,47,2,16,59,41,4,0,0,0,1,0,0,0,0,0,0
1117,1963,1,69328.35,310,6,19.76,80,0,12,5,3,50,50,4,0,0,0,1,0,0,0,1,0,0
1120,1988,1,47530.35,11,9,43.68,60,1,33,3,4,63,37,2,0,0,0,1,0,0,0,0,0,0
1123,1960,1,77926.8,1,33,1335.36,54,0,32,6,7,27,73,5,0,0,0,1,0,0,0,0,0,0
1124,1965,1,86837.1,28,36,1399.84,82,5,12,1,1,47,53,5,0,0,0,1,0,0,1,0,0,0
1128,1944,0,101129.7,8,25,1055.6,15,13,34,25,13,19,81,3,0,0,0,0,0,0,0,1,0,0
1129,1970,1,72537.15,37,10,66.56,81,4,11,0,3,57,43,3,0,0,0,0,0,0,0,1,0,0
1137,1954,1,105100.8,83,28,1190.8,51,3,27,0,19,20,80,4,0,0,0,0,0,0,0,0,1,0
1138,1986,1,74062.83887289166,92,12,43.68,32,15,36,5,12,88,12,4,0,0,0,1,0,0,0,0,0,0
1139,1959,1,77162.4,64,28,1067.04,60,7,23,2,8,26,74,4,0,0,0,1,0,0,0,1,0,0
1143,1971,1,68485.2,21,7,65.52,83,1,15,1,0,42,58,3,0,0,0,0,0,1,0,0,0,0
1151,1968,0,78045.45,55,28,858.0,49,7,36,0,7,56,44,5,0,0,0,1,0,0,0,0,0,0
1153,1949,0,98924.7,68,23,1000.48,36,6,27,10,21,12,88,2,0,1,0,1,0,0,0,0,1,0
1155,1984,1,42235.2,51,18,264.16,61,8,26,0,5,63,37,4,0,1,0,0,0,0,0,0,0,0
1156,1989,1,31312.05,29,13,56.16,33,14,30,13,11,78,22,3,0,0,1,0,0,0,0,0,0,0
1159,1974,1,74513.25,11,10,124.8,70,3,21,3,3,46,54,5,0,0,0,1,0,0,0,0,1,0
1161,1966,1,67081.35,72,21,559.52,94,0,5,0,0,47,53,4,0,0,0,1,0,0,0,0,1,0
1163,1942,0,107070.6,84,32,1470.56,24,27,36,11,2,20,80,4,0,1,1,0,0,0,0,1,0,0
1167,1973,1,64731.45,89,10,66.56,82,2,14,1,0,54,46,4,0,0,0,1,0,0,0,0,0,0
1174,1946,0,90549.9,47,22,794.56,34,3,50,6,6,25,75,3,0,0,0,0,1,0,0,1,0,0
1175,1974,1,46516.05,44,10,55.12,47,3,44,3,3,48,52,3,0,0,0,1,0,0,0,0,1,0
1177,1970,1,73451.7,12,22,513.76,87,1,10,1,1,61,39,3,0,0,0,1,0,0,0,0,1,0
1182,1997,1,32918.55,11,10,35.36,7,11,13,32,37,73,27,5,0,0,1,0,0,0,0,0,0,0
1188,1976,1,74453.4,33,25,798.72,83,0,14,2,1,41,59,5,0,0,0,0,1,0,0,0,0,0
1189,1978,1,54051.9,89,7,48.88,22,23,10,15,30,40,60,2,0,0,0,1,0,0,0,0,0,0
1190,1963,1,84262.5,21,29,923.52,90,0,9,0,0,57,43,4,0,0,0,0,1,0,0,0,1,0
1193,1953,1,91537.95,62,18,515.84,41,15,29,12,2,29,71,5,0,0,0,1,0,0,0,0,1,0
1197,1965,1,77348.25,81,8,123.76,82,1,16,1,0,46,54,4,0,1,0,1,0,0,0,0,0,0
1204,1973,1,64094.1,11,19,360.88,68,0,28,3,1,61,39,4,0,0,0,1,0,0,0,0,0,1
1208,1955,1,104479.2,98,15,351.52,21,14,17,15,33,44,56,2,0,1,0,0,0,0,0,0,1,0
1209,1962,1,76941.9,55,33,1257.36,95,0,5,0,0,36,64,5,0,1,0,0,0,1,0,1,0,0
1216,1991,1,26355.0,96,14,121.68,22,16,39,3,20,50,50,4,0,0,0,1,0,0,0,0,0,0
1220,1956,1,97641.6,55,22,867.36,54,13,28,2,3,23,77,4,0,0,0,0,0,0,0,0,0,0
1221,1942,0,103766.25,88,26,1186.64,25,7,54,9,5,10,90,5,0,1,0,1,0,0,0,0,0,1
1223,1983,1,75262.95,99,10,66.56,37,19,32,6,6,71,29,2,0,0,0,1,0,0,0,0,1,0
1226,1940,0,117483.45,12,41,2059.2,26,11,37,16,10,15,85,4,0,0,0,1,0,0,0,1,0,0
1231,1951,0,104820.45,30,31,1258.4,76,0,22,1,1,36,64,4,0,1,0,0,0,1,0,1,0,0
1235,1965,1,88985.4,14,18,450.32,82,0,16,1,1,48,52,3,0,1,0,0,0,0,1,0,0,0
1241,1954,0,93030.0,36,24,859.04,37,15,31,11,6,30,70,3,0,0,0,0,0,0,0,0,1,0
1250,1993,1,28561.05,84,11,42.64,15,1,31,15,38,66,34,5,0,1,0,1,0,0,0,0,0,0
1253,1947,0,115611.3,25,30,1397.76,30,4,55,5,6,20,80,5,0,0,0,1,0,0,0,1,0,0
1263,1956,1,105840.0,45,24,920.4,26,17,37,8,13,25,75,2,0,1,0,0,0,0,0,1,0,0
1267,1993,1,74062.83887289166,25,11,45.76,11,28,25,5,31,70,30,4,0,1,0,1,0,0,0,0,0,0
1275,1939,0,119831.25,21,39,2060.24,35,8,41,5,12,12,88,4,0,0,0,0,0,1,0,0,0,0
1280,1967,1,67328.1,83,16,267.28,69,0,25,3,3,62,38,3,0,0,0,1,0,0,0,0,0,0
1283,1962,1,84745.5,13,14,194.48,91,0,8,0,1,65,35,2,0,0,0,1,0,0,0,0,0,1
1285,1977,1,68893.65,50,16,270.4,83,1,14,1,1,54,46,3,0,0,0,0,1,0,0,1,0,0
1290,1957,1,85307.25,41,23,806.0,29,20,20,19,12,31,69,5,0,0,0,0,0,0,0,0,0,0
1299,1989,1,23697.45,50,13,52.0,41,5,47,5,3,65,35,4,0,0,0,0,1,0,0,0,0,0
1303,1955,1,87547.95,13,14,360.88,47,14,26,0,13,27,73,5,0,1,0,1,0,0,0,0,1,0
1307,1954,1,92797.95,10,25,803.92,58,2,25,14,1,40,60,2,0,0,0,1,0,0,0,0,1,0
1313,1945,0,115337.25,55,35,1797.12,57,3,25,8,7,10,90,5,0,0,0,1,0,0,0,1,0,0
1317,1970,1,65888.55,49,22,671.84,48,15,25,5,7,30,70,3,0,0,0,1,0,0,1,0,0,0
1328,1996,1,43120.35,23,9,33.28,28,13,16,35,8,43,57,2,0,0,1,0,0,0,0,0,0,0
1329,1951,0,102694.2,5,32,1319.76,71,2,23,0,3,39,61,4,0,0,0,1,0,0,0,1,0,0
1343,1989,1,51840.6,196,4,18.72,37,11,18,18,16,39,61,3,0,0,1,0,0,0,0,1,0,0
1344,1987,1,36492.75,49,12,48.88,48,6,39,2,5,71,29,4,0,0,0,1,0,0,0,1,0,0
1345,1964,1,92196.3,79,35,1393.6,93,1,5,0,1,48,52,5,0,0,0,0,0,0,0,1,0,0
1349,1971,1,61450.2,39,15,154.96,87,1,11,1,1,72,28,3,0,0,0,1,0,0,0,0,1,0
1350,1976,1,48127.8,55,11,94.64,69,1,25,3,2,58,42,4,0,0,0,1,0,0,0,0,0,0
1351,1975,1,75607.35,42,21,504.4,36,16,42,1,5,55,45,5,0,0,0,1,0,0,0,1,0,0
1358,1961,1,91274.4,34,27,991.12,78,2,19,1,0,31,69,4,0,1,0,1,0,0,0,0,0,0
1361,1958,1,91679.7,29,16,501.28,51,4,26,6,14,31,69,3,0,1,0,1,0,0,0,0,1,0
1363,1986,1,47012.7,438,9,18.72,64,2,29,3,2,74,26,3,0,0,0,0,1,0,0,0,0,0
1369,1946,0,117140.1,29,36,1794.0,7,36,52,4,2,17,83,5,0,0,1,0,0,0,0,1,0,0
1370,1984,1,44000.25,32,13,98.8,21,6,52,6,15,58,42,3,0,1,0,1,0,0,0,1,0,0
1371,1996,1,28786.8,196,8,19.76,43,16,29,10,2,45,55,2,0,1,1,0,0,0,0,1,0,0
1375,1993,1,32501.7,54,13,76.96,20,5,40,12,23,74,26,2,0,0,0,1,0,0,0,0,0,0
1380,1957,0,71839.95,45,9,188.24,38,16,22,7,17,28,72,3,0,0,0,0,0,0,0,1,0,0
1382,1966,1,65587.2,73,24,629.2,82,1,15,1,1,61,39,5,0,0,0,1,0,0,0,0,1,0
1384,1954,1,88078.2,52,15,412.88,34,12,25,3,25,33,67,3,0,1,1,0,0,0,0,1,0,0
1385,1971,1,67717.65,26,13,121.68,62,1,29,6,2,59,41,3,0,0,0,1,0,0,0,1,0,0
1388,1952,1,109378.5,89,29,1261.52,77,2,19,1,2,31,69,5,0,0,0,0,0,1,1,0,0,0
1393,1977,1,62281.8,13,5,41.6,36,6,34,20,4,44,56,1,0,0,0,1,0,0,1,0,0,0
1394,1952,1,111751.5,6,32,1523.6,57,5,26,6,5,19,81,5,0,0,0,1,0,0,0,0,1,0
